0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
61.863945,155.16112,69.25717,0.0,52.90176,0.0,0.0,0.0,0.0,403.68747,105.93979,0.0,52.15032,15.26497,164.1022,52.07063
67.73863,343.23746,0.0,88.782555,94.83635,0.0,155.03256,157.52869,0.0,46.68365,0.0,44.589176,119.38519,62.580284,2.9354894,229.60645
27.615414,147.2034,0.0,36.400105,43.294666,0.0,68.07692,66.82922,0.0,22.1641,0.0,15.585603,53.169796,25.65465,4.0460367,93.719086
9.038239,23.024403,5.2538776,0.11779852,6.359985,0.0,0.0,0.0,0.0,55.046764,19.773317,0.0,6.149542,1.5725337,21.569592,8.955407
30.399431,76.26166,27.355778,0.0,23.99153,0.0,0.0,0.0,0.0,191.87697,54.419334,0.0,24.010317,5.4369655,77.88576,26.003021
75.021,191.57143,90.856186,0.0,66.205635,0.0,0.0,0.0,0.0,501.22757,130.24805,0.0,67.118484,20.639133,203.67284,63.27982
37.41044,196.21082,0.0,49.44225,56.61846,0.0,89.85354,89.33371,0.0,28.44177,0.0,22.845322,69.85586,34.70736,4.049134,127.3128
76.282486,195.17825,92.79916,0.0,67.50161,0.0,0.0,0.0,0.0,510.7276,132.61818,0.0,68.57867,21.187284,207.45293,64.36783
67.81403,171.00043,78.830574,0.0,58.75529,0.0,0.0,0.0,0.0,446.73962,116.86925,0.0,58.582767,17.499872,181.58786,56.84152
6.2672486,15.820951,2.8126376,0.9691205,4.3840075,0.0,0.0,0.0,0.0,37.999977,15.355621,0.0,3.3958766,1.4520842,14.526449,6.8339133
85.074615,424.34244,0.0,110.67527,115.43686,0.0,191.27634,195.55653,0.0,56.475754,0.0,56.898514,146.89409,78.161865,1.7528553,286.76672
0.0,1.6674576,0.0,0.0,1.0532746,0.0,0.4590649,1.1030184,0.0,0.79666394,0.23046134,0.4931101,0.37716243,0.5062168,0.19120574,1.1343546
1.6984599,4.76573,0.0,0.47694713,1.5154978,0.0,0.0,1.0715097,0.0,7.8904986,4.581945,0.35817492,0.22021852,0.881438,3.1211224,4.0576696
97.26349,481.31403,0.0,126.03925,129.73805,0.0,216.43524,222.26738,0.0,63.307213,0.0,65.52683,165.87119,89.21525,0.9945936,327.10464
6.406626,16.047089,3.077875,0.8025998,4.485617,0.0,0.0,0.0,0.0,38.5641,15.416752,0.0,3.5951388,1.4145758,14.839882,6.8987465
7.9828744,43.039104,0.0,9.813095,14.524233,0.0,21.137695,19.677895,0.0,7.872787,0.0,2.6236558,17.060371,7.1982894,2.713695,24.840801
61.57274,154.40465,68.72255,0.0,52.60044,0.0,0.0,0.0,0.0,401.5628,105.42918,0.0,51.82382,15.156999,163.2136,51.84016
2.6907513,7.5404115,0.0,0.91834146,2.2684114,0.0,0.0,0.20263562,0.0,15.887606,7.815812,0.0,0.6399393,1.1960398,5.904316,4.8401036
86.5857,431.4705,0.0,112.70057,117.59261,0.0,194.34111,198.87018,0.0,57.42889,0.0,58.29631,149.19601,79.52476,1.894003,291.88022
70.17281,177.65254,82.87645,0.0,61.17843,0.0,0.0,0.0,0.0,464.47385,121.221275,0.0,61.364033,18.505163,188.83449,58.94409
30.071054,75.41973,27.22706,0.0,23.722063,0.0,0.0,0.0,0.0,189.66849,53.810524,0.0,23.829231,5.3625627,77.05693,25.751165
0.24284598,4.8009987,0.0,0.5558318,1.2589376,0.0,2.2356126,3.1188316,0.0,1.2196677,0.0,0.17723186,2.0203245,1.2524697,0.0,2.6038249
58.113922,146.18555,63.833183,0.0,49.23811,0.0,0.0,0.0,0.0,378.24557,99.47518,0.0,48.423748,14.051565,153.78326,49.61276
138.50064,670.78143,0.0,177.45546,177.0085,0.0,300.1955,311.7738,0.0,85.291016,0.0,95.33683,229.33897,126.27668,0.0,462.32233
108.37795,289.98148,143.86589,0.0,105.15675,0.0,0.0,0.0,0.0,759.9809,190.97194,0.0,110.3504,34.474075,306.10828,93.40333
7.3240128,39.89738,0.0,9.080895,13.7352915,0.0,19.476696,18.248167,0.0,7.34676,0.0,2.4642591,15.79447,6.7410417,2.7413852,22.942505
2.0021977,5.4107223,0.0,0.24344666,1.570476,0.0,0.0,1.1977478,0.0,7.841277,4.6631455,0.0638499,0.5507651,0.9033902,3.2720869,4.5936346
0.0,2.2455804,0.0,0.0,1.4747536,0.0,1.0755535,1.5552633,0.0,0.6110773,0.0,0.56735754,0.8981401,0.6866741,0.0,1.483823
7.086779,38.513744,0.0,8.64373,12.990921,0.0,18.900642,17.629972,0.0,6.9898195,0.0,2.1209831,15.335677,6.526064,2.5183692,22.07567
112.91413,553.8529,0.0,145.47995,147.2752,0.0,248.55934,256.42505,0.0,71.7248,0.0,76.161736,190.13876,103.38807,0.0,378.55463
0.1518714,3.9240227,0.0,0.4388968,1.216398,0.0,1.7105737,2.6644123,0.0,1.272389,0.028439287,0.3905791,1.6151258,1.0429654,0.0881636,2.0871236
1.2527419,10.29949,0.0,1.6414988,3.2837212,0.0,4.802836,5.543228,0.0,1.9357824,0.0,0.0,4.577754,1.9472682,0.4692231,5.2560053
